,,FFT Amplitude,,,,,,,,,,,,,
Mouse #,Genotype,Pre-AAV,Post-AAV,,,,,,,,,,,,
1,SCN-Vgat +/+,0.0971,0.0711,,,,,,,,,,,,
2,SCN-Vgat +/+,0.2561,0.1839,,,,,,,,,,,,
3,SCN-Vgat +/+,0.1554,0.2139,,,,,,,,,,,,
4,SCN-Vgat +/+,0.1048,0.0719,,,,,,,,,,,,
1,SCN-Vgat -/-,0.3442,0.1079,,,,,,,,,,,,
2,SCN-Vgat -/-,0.3553,0.1609,,,,,,,,,,,,
3,SCN-Vgat -/-,0.2802,0.1344,,,,,,,,,,,,
4,SCN-Vgat -/-,0.2005,0.1395,,,,,,,,,,,,
,,,,,,,,,,,,,,,
