Mouse #,Genotype,Cherry Int,,,,,
1,Nms-Vgat+/-,2.986609506,,,,,
2,Nms-Vgat+/-,3.015894198,,,,,
3,Nms-Vgat+/-,3.276638638,,,,,
4,Nms-Vgat+/-,1.57526993,,,,,
5,Nms-Vgat+/-,2.831737365,,,,,
1,Nms-Vgat-/-,2.811303226,,,,,
2,Nms-Vgat-/-,1.411210183,,,,,
3,Nms-Vgat-/-,1.341520974,,,,,
4,Nms-Vgat-/-,2.576059569,,,,,
5,Nms-Vgat-/-,1.597365189,,,,,
6,Nms-Vgat-/-,1.765579059,,,,,
7,Nms-Vgat-/-,3.739994105,,,,,
8,Nms-Vgat-/-,1.363302437,,,,,
,,,,,,,
