Genotype,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+
9,0.55637255,0.17533774,0.42942943,6.94297149,0.67167167,3.30118313,1.02898551,3.99630704,2.42406456,6.47883045,0.31140716,1.14468245,2.99648876,5.18894009,0.31793364,4.99884426,1.42132442,0.57710475,2.5606745,2.87123991,8.56310449,7.85953644,3.13672969,1.5398514,0.22843823,0.4279476,0.0006012,0.00239107,0.00111276,0.00453354,0.0056414,0.08337787,0.00378788,0.09622618,0.29703053,0.00158228,0.03063791,1.66133933,0.85654984,0.00079586,0,0.08604651,0.36858043,0.78944881,0.14570389,0.18218631,0.0034622,0.70502546,1.05060923
10,0.60539216,0.66570854,0.43843844,4.89144572,0.36636637,3.12680041,1.60869565,0.97968874,0.18268525,1.67951395,3.72855953,2.19616685,1.52914326,3.4730592,1.46304074,2.92285467,1.04100851,4.35176438,0.02860584,6.81438004,7.39648171,7.1834683,2.12027311,0.60655184,0.34079254,0.01974559,0.00260521,0.00185972,0.38909496,0.03554298,0.00024528,0.38642437,0.00677831,0.00193644,0,0,0.01783018,0.7053542,0.00055386,0,0.02027024,0.00186047,0.03819115,0.00046479,0.01837474,0.03886646,0.07674556,0.47414364,0.00622463
11,0.71568627,0.73181949,0.0960961,1.63531766,0.83533534,1.53292181,2.08514493,4.89237668,2.01467351,1.91190431,2.9050791,2.53400977,0.58339185,1.87663949,1.06656867,2.94625831,2.61208991,3.73575993,1.40228847,5.30117388,7.40356883,6.2169785,3.89723389,0.20786896,0.0004662,0.00816404,0.0006012,0,0.32752226,0,0,0.01576697,0.00956938,0.00238331,0.019802,0.00158228,0.00527373,0.13456678,0.00110773,0.00039793,0.0135135,0.00046512,0.00072059,0,0.01785713,0.00890689,0,0.00145666,0.00595399
12,0.45343137,1.34377695,0.27027027,2.67933967,2.56406406,1.70627572,1.17572464,4.98865735,1.23330888,2.82817543,1.78850958,2.46486283,0.36025281,1.51488834,2.41243175,3.94134643,1.01336574,2.96110031,2.98946101,2.17791636,3.14195709,5.71013683,4.21603641,0.14927389,0.0981352,0.01177141,0.0008016,0.00504782,0.02707715,0.00816038,0.49668837,0,0.02192982,0.01057594,0.05940604,0.00237341,0.00703164,0.10036447,0.00443091,0.05093526,0,0.17744186,0.00378308,0.00069719,0.12396478,0.06599195,0.00403924,0.002185,0.01677943
13,2.03431373,0.92957746,0.53753754,4.27413707,6.20720721,3.58333333,2.0942029,2.61461356,3.21496698,3.39225365,2.13488759,1.40886885,0.98929073,1.44310528,3.16862663,3.46460561,3.2427096,0.6385107,1.26467931,6.8294204,0.90133744,8.20915945,5.33105742,0.02414725,0.0013986,0.00854376,0.0012024,0,0.00074184,0.00036268,0.00024528,0,0.03807815,0.00283018,0.07920791,0.00632913,0.16875997,0.29408487,0.01329272,0.04695583,0,0.00860465,0,0.02323961,0.00362318,0.00202429,0,0.00327749,0.00324763
14,1.51960784,2.07703363,0.01201201,4.40070035,4.37087087,2.16512346,2.49275362,2.57108942,3.63022744,0.68407063,3.35970025,2.47989478,0.06530899,1.86511875,2.75703486,4.57497833,2.05498177,0.46790775,0,1.99413059,2.49934501,5.16643396,4.61029412,0.01502871,0.00955711,0.00037972,0.0002004,0,0.03672107,0.00852306,0.00147167,0.00374131,0.45813397,0.00193644,0.059406,0.00237342,0.00778503,0.01990462,0.00636943,1.0083576,0.03378374,1.0055814,0.00054044,1.72879373,0.1019668,0.0299595,0.00028852,0.002185,0
15,0.53676471,3.89652199,2.33033033,3.51975988,5.8023023,4.69315844,0.25724638,3.41176471,4.01907557,2.22517562,2.66777685,1.98684705,0.68785112,0.92981212,1.21377572,3.41722046,1.05224787,1.15615449,0.28666064,2.4244314,4.7984789,2.69924602,5.01540616,0.38432962,0.00582751,0.02885893,0.01983968,0.00690755,0,0.01813417,0.28967365,0.00267237,2.01654705,0.03053617,0.22772313,0.13212035,0.06378702,0.76590981,0.048463,0.38599328,0,1.45162791,0.0830478,0.82430887,0.05512426,0.06032392,0.04212356,0.20975965,0.06495261
16,0.79901961,2.86231676,0.54054054,2.30465233,4.34284284,6.08230453,0.38586957,3.55130572,2.90829054,3.78146953,0.49458784,2.84517099,0.6792486,3.31708614,2.76228475,3.10863912,4.2828068,2.27785496,1.1237579,4.24504769,5.62739391,7.3214186,6.32913165,1.09202972,0.53333333,0.01537877,0.00240481,0.00079702,0,0,0.90532319,0.96926777,2.85645933,0.02964243,0.52475348,0.00632911,0.71320957,0.05719087,0.02021601,3.63032677,0.35810802,1.90186047,0.00126103,2.25214919,0.29787763,0.97611309,0.19503764,0.0010925,0.02543979
17,1.71813725,2.73181949,1.13813814,5.47173587,3.09159159,2.67746914,0.52355072,3.48641519,2.03374908,2.75071198,2.40549542,1.94400601,0.97665028,3.71871677,3.98572029,2.49927767,3.91342649,1.07668797,1.30472749,3.35730007,5.47625173,3.38341245,3.29814426,4.03259034,1.77832168,0.16441997,0,0,0.00148368,0,0.84130466,1.06547301,2.67025518,0.08490545,0.059406,0.00158228,2.04093384,0.25427524,0.0008308,3.18782689,0.07432429,3.87209302,0.96234516,1.03695093,0.4174429,1.32024271,0.00057703,0.00072833,0.15805135
18,0.30392157,0.00028744,0.28528529,0.27263632,1.0970971,0.36291152,0.07971014,0.4072804,0.09170946,0,0.00166528,0.11649756,0.06214888,0.00070897,0.00062999,0.33545218,0.22660996,0,1.31948208,0.41269259,0.05247966,0.08908126,0.14793417,0.46960486,1.58764569,1.22270742,0,0.00026567,0.62017804,0.43993508,1.55727324,0.11704971,0.10426635,0.34975087,0.93069483,0.00158228,0.71848286,1.86346978,0.00083079,0.07043378,2.16891495,0.50116279,0.44514379,0.78108305,0.52122165,1.15344086,1.08857446,0.50327766,1.22517024
19,2.93872549,6.58177637,1.72072072,1.75737869,4.42192192,7.61368313,2.33514493,8.14033237,4.14673514,4.97683691,4.98834305,6.88237505,6.27826545,2.72740163,5.05186896,8.49841086,7.46931956,5.79466518,1.33182776,4.51283933,5.65678135,5.14465233,5.05322129,5.48497129,8.40815851,7.51813176,5.19519038,6.99229543,7.69621662,9.90252881,8.90802097,10.3821486,8.71949761,9.6738588,2.73267947,4.85442765,8.74434647,7.96410977,5.32152149,6.52885404,2.17567544,9.23395349,8.98285531,8.3472018,10.0108633,7.91295508,10.0727089,9.48106755,10.1069027
20,0.9877451,8.38976717,0.58558559,5.46223112,9.22372372,7.22736626,0.09057971,6.18280137,2.05502568,5.78184925,0.06827644,1.15370162,10.0670646,9.6191067,8.36560269,4.59809304,8.09993925,7.39010836,7.52574526,8.07997065,3.58934666,4.86177046,8.49527311,8.25379939,7.98484848,5.99468388,9.08877756,9.75026567,8.34235905,8.965536,7.46848344,9.85809727,9.37858852,10.0005213,2.26733118,2.03718255,8.40080281,8.15194653,9.73055316,1.39474841,0.63513474,8.77697674,8.781448,5.61584967,10.2419739,9.59149482,8.84478241,10.5269525,8.84682095
21,0.54166667,2.92641564,3.34834835,5.2066033,8.47447447,2.61959877,1.03985507,4.6428383,0.06676449,2.69508259,0.42964197,2.51183766,9.81355337,4.11219426,7.11276774,2.08870269,4.9744836,5.98833009,8.02890696,3.51430668,1.51220333,3.18598157,9.14565826,8.33181358,3.95757576,5.55496488,7.87034068,6.60494155,8.759273,7.77049388,7.46848234,8.93319081,9.1050638,9.76382879,1.38614527,5.34493341,9.13460445,7.88533394,8.71448973,2.40708558,0.54054021,8.35534884,9.06031567,6.17871478,9.34497424,9.72388224,7.7986178,10.5557191,6.46522577
22,1.04166667,3.82437482,1.44444444,1.62031016,6.16566567,2.16949588,0.94021739,2.19229755,3.09684519,1.57831783,3.78934221,2.85982713,9.04740169,1.23520028,2.83158337,2.00751228,0.88639125,3.54459572,6.8955134,5.013573,0.76121811,4.47109746,7.85801821,6.40932118,3.85920746,6.49610784,7.3008016,3.1107864,8.97959941,7.49104625,4.20922296,9.16114377,7.72507974,9.89088905,2.11881489,3.82831919,6.10848796,6.36304653,5.47964967,1.39315597,1.79729909,6.81302326,9.09615908,1.60167296,8.9104519,9.36599021,3.54847135,10.2509152,3.50148884
23,1.923475,6.44265737,4.68601985,3.38446973,5.7313989,2.22387963,0.39150543,2.57413743,2.61229306,2.6267117,2.52160225,1.70069711,7.17969716,2.595553,0.77383452,5.73177261,0.82732609,5.25223118,6.34079494,4.24390682,2.47316957,3.94027227,6.0685688,4.54896994,7.33613054,6.68601196,6.15927455,1.56996161,8.66988131,9.00184606,0.51582139,8.37965393,7.85169657,10.1497017,3.39975798,3.19570657,2.49054989,2.82930348,2.45686989,1.4327009,1.16047277,3.23077558,9.17998314,3.12770319,8.54166516,9.63182902,4.61457839,9.55594685,4.45466934
24,1.02205882,3.79189422,3.25525526,6.17308654,2.38188188,4.38605967,2.25,2.52571881,1.18268525,4.01841656,2.24313072,3.45546787,4.44610253,5.62974123,2.99118018,4.97081768,3.09963548,7.14170603,6.38783499,6.63829787,3.14746667,7.28707065,7.19957983,6.80074299,6.36666667,8.31744826,3.69298597,1.23432519,6.44547478,8.85600559,0.33578609,8.12266168,5.40829346,9.71943962,2.17822428,4.81328845,5.62832626,1.0204654,1.40238285,0.85634741,3.27702717,3.6544186,10.4071006,4.34673434,7.79140458,9.97003766,4.44518152,8.93554477,4.70852296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
